Date;Open;High;Low;Close;Adj Close;Volume
19/11/2003;367143;368750;361786;364643;309100;344584800
20/11/2003;358929;376429;358929;363929;308495;239590400
21/11/2003;363214;367500;354464;362143;306981;241836000
24/11/2003;366071;379821;365179;377679;320151;381824800
25/11/2003;379107;379464;368036;369286;313036;268654400
26/11/2003;373036;377679;361607;370000;313642;245128800
28/11/2003;371071;376250;366429;373393;316518;76098400
01/12/2003;375714;390179;375000;387679;328628;361536000
02/12/2003;385714;391071;382321;384643;326054;205296000
03/12/2003;384643;390000;374286;375536;318334;191296000
04/12/2003;373929;378036;370893;377679;320151;177940000
05/12/2003;373214;377679;370179;372321;315609;186177600
08/12/2003;371071;376429;364464;375893;318637;148237600
09/12/2003;378036;379464;364286;365179;309555;135144800
10/12/2003;365179;368036;356429;363929;308495;271336800
11/12/2003;361607;381071;360893;378750;321059;183136800
12/12/2003;380714;380714;369643;373036;316215;192673600
15/12/2003;383750;383750;358393;360179;305316;388908800
16/12/2003;360536;365893;357321;359286;304559;373956800
17/12/2003;358571;359464;353393;355000;300926;274260000
18/12/2003;355357;360357;355357;357857;303348;330915200
19/12/2003;360536;364643;350357;351786;298202;453560800
22/12/2003;350893;355179;343750;354464;300472;377064800
23/12/2003;355714;356250;350000;353750;299867;308498400
24/12/2003;352143;367679;350893;364464;308949;177475200
26/12/2003;363393;373393;363214;371071;314549;103695200
29/12/2003;373393;377857;372500;377679;320151;233458400
30/12/2003;378214;383929;377679;380000;322118;204853600
31/12/2003;381250;384464;378214;381607;323481;174451200
02/01/2004;384821;388393;378214;380000;322118;144642400
05/01/2004;382500;399821;382500;395893;335591;395018400
06/01/2004;397321;400357;387679;394464;334379;509348000
07/01/2004;394643;407679;391607;403393;341948;586874400
08/01/2004;407857;423750;404464;417143;353604;460303200
09/01/2004;414821;430893;406964;410714;348154;427459200
12/01/2004;415179;428571;412500;423750;359204;487547200
13/01/2004;441071;443571;426071;430714;365108;679016800
14/01/2004;435714;438214;424643;432143;366319;620043200
15/01/2004;409107;417857;401786;408036;345884;1018208800
16/01/2004;408750;411429;403750;405714;343916;372820000
20/01/2004;404821;407143;397321;405893;344067;315946400
21/01/2004;405357;410179;400536;403750;342251;226660000
22/01/2004;402857;407679;396071;396071;335741;205004800
23/01/2004;400357;406071;397321;402857;341494;227169600
26/01/2004;401071;411786;400536;410893;348306;271269600
27/01/2004;411429;415179;407143;411964;349214;307070400
28/01/2004;407857;417500;400179;402143;340889;275402400
29/01/2004;404107;407143;396250;405000;343310;212699200
30/01/2004;404464;408393;400357;402857;341494;185298400
02/02/2004;401071;407321;394286;398571;337861;287431200
03/02/2004;398214;400000;392857;397500;336953;180812800
04/02/2004;392857;394464;387500;389107;329838;305552800
05/02/2004;389643;409107;389464;400357;339374;352844800
06/02/2004;400893;408750;400000;405536;343765;193340000
09/02/2004;403929;408214;401786;404821;343159;188260800
10/02/2004;403929;412857;400714;410357;347851;255343200
11/02/2004;412321;426250;411607;425000;360264;348544000
12/02/2004;421607;428393;421429;423750;359204;183988000
13/02/2004;425893;430357;407679;410714;348154;315980000
17/02/2004;412500;419464;412500;413571;350576;170956800
18/02/2004;413929;418571;411607;415357;352090;141635200
19/02/2004;416607;422143;400179;401250;340131;323080800
20/02/2004;401786;401964;396607;400000;339072;277603200
23/02/2004;398929;401071;390893;396250;335893;194079200
24/02/2004;395357;406071;392857;399286;338467;259056000
25/02/2004;397857;408929;396607;407321;345278;276276000
26/02/2004;408571;413929;407143;411429;348760;198408000
27/02/2004;410000;428929;409821;427143;362081;468837600
01/03/2004;430357;433929;426250;428929;363594;321680800
02/03/2004;428571;430357;424464;425179;360416;256687200
03/03/2004;421429;431964;421429;427143;362081;225131200
04/03/2004;427321;450357;426964;449286;380851;660223200
05/03/2004;445536;490893;444643;477500;404767;1540599200
08/03/2004;475357;478393;460714;464286;393566;522872000
09/03/2004;462500;486250;459821;483929;410217;618363200
10/03/2004;482857;502500;481071;494286;418996;1006964000
11/03/2004;486964;500714;483750;484821;410973;595851200
12/03/2004;487857;496071;485179;492143;417180;329224000
15/03/2004;482679;488393;468929;472321;400377;481717600
16/03/2004;474107;475179;453393;461071;390841;605432800
17/03/2004;463571;471071;460357;467679;396442;411432000
18/03/2004;463214;465357;456964;458393;388570;321081600
19/03/2004;456429;481071;456071;461786;391447;408576000
22/03/2004;453036;467321;450893;461786;391447;419031200
23/03/2004;462143;464286;450357;451607;382818;385515200
24/03/2004;451250;459821;451250;455357;385997;428215200
25/03/2004;466786;480536;462321;479821;406735;566445600
26/03/2004;482143;488571;480536;482857;409308;419893600
29/03/2004;488750;499821;485714;498393;422478;350728000
30/03/2004;495357;499107;488214;498571;422629;359676800
31/03/2004;498571;499643;481250;482857;409308;390773600
01/04/2004;480179;486964;475357;484107;410368;318332000
02/04/2004;495536;498750;486250;491071;416271;274478400
05/04/2004;490714;506607;490000;505714;428683;385672000
06/04/2004;494821;502679;489821;496964;421266;257992000
07/04/2004;493036;494643;480714;487679;413396;255119200
08/04/2004;497857;500000;485714;491607;416725;240917600
12/04/2004;491071;501786;490893;500714;424445;230540800
13/04/2004;499643;500536;479286;480893;407643;436396800
14/04/2004;477500;483393;469821;475714;403253;639732800
15/04/2004;514643;528214;502857;523214;443518;1761446400
16/04/2004;520536;523393;508929;521071;441701;402931200
19/04/2004;502143;513393;496964;506250;429138;712353600
20/04/2004;503750;507321;492143;495179;419753;354519200
21/04/2004;492857;502143;488750;495179;419753;325875200
22/04/2004;492143;503214;484107;496071;420509;344584800
23/04/2004;494643;500000;483036;494643;419299;315828800
26/04/2004;492500;493571;482143;484464;410670;231128800
27/04/2004;486429;490000;476607;481071;407794;283864000
28/04/2004;478929;482321;470357;472321;400377;231168000
29/04/2004;472321;482143;463929;478036;405221;460790400
30/04/2004;476964;481429;455179;460357;390235;466502400
03/05/2004;464286;470179;459643;465536;394625;297634400
04/05/2004;463750;474107;455357;466786;395685;279983200
05/05/2004;467857;477679;463571;475893;403405;238106400
06/05/2004;471429;477679;462500;474643;402345;263558400
07/05/2004;474107;492321;474107;476250;403708;419036800
10/05/2004;469107;475000;463214;469286;397804;249978400
11/05/2004;471429;485536;471429;484643;410822;305172000
12/05/2004;478393;488214;468571;487500;413244;245420000
13/05/2004;483929;495000;480357;485536;411579;229852000
14/05/2004;486607;487857;472321;483214;409611;257801600
17/05/2004;476786;483214;470714;475714;403253;300445600
18/05/2004;481607;487321;478571;483214;409611;206063200
19/05/2004;489286;491071;471786;472679;400680;375592000
20/05/2004;475536;482143;472679;476964;404313;196296800
21/05/2004;480357;485714;477321;484107;410368;179894400
24/05/2004;487321;498214;484107;488214;413849;235603200
25/05/2004;491071;509107;487321;507321;430046;319978400
26/05/2004;505893;513929;500000;509107;431560;322168000
27/05/2004;508214;510714;496786;503036;426414;235972800
28/05/2004;501429;504821;496429;501071;424748;145717600
01/06/2004;496250;503571;493036;501071;424748;182134400
02/06/2004;500536;520893;496429;516429;437766;318712800
03/06/2004;512857;517679;505179;507143;429895;250930400
04/06/2004;510000;522321;509107;513929;435647;399112000
07/06/2004;518571;535357;514464;532321;451238;295876000
08/06/2004;535536;543571;532679;541964;459412;415620800
09/06/2004;537321;548393;535714;539286;457142;349204800
10/06/2004;539286;553036;539286;548929;465316;257577600
14/06/2004;547321;547857;526786;537857;455930;243986400
15/06/2004;545357;556071;540357;548036;464559;444634400
16/06/2004;547500;595000;545179;584643;495590;909641600
17/06/2004;581429;591607;575179;585893;496650;551320000
18/06/2004;583214;596607;579107;587679;498163;406252000
21/06/2004;591429;598214;573571;577321;489383;390213600
22/06/2004;576786;590893;576607;589286;499526;360511200
23/06/2004;589286;604107;587321;601786;510122;390868800
24/06/2004;598393;601786;588929;592500;502250;252515200
25/06/2004;590536;601786;589286;601786;510122;323428000
28/06/2004;610357;610536;575179;580179;491806;521096800
29/06/2004;572679;589107;560893;580357;491957;590553600
30/06/2004;581429;588750;569464;581071;492562;373044000
01/07/2004;573214;580000;569643;576786;488930;341941600
02/07/2004;544286;556786;530893;555000;470462;910683200
06/07/2004;558393;561071;550000;552679;468495;348980800
07/07/2004;550893;560000;538036;542679;460018;397992000
08/07/2004;538036;547857;534821;538214;456233;233380000
09/07/2004;540536;544643;536250;536250;454568;208863200
12/07/2004;536071;536429;516607;520357;441096;511621600
13/07/2004;522321;528571;518214;521786;442307;316176000
14/07/2004;515357;535179;513214;528214;447756;835800000
15/07/2004;583214;600536;573393;588036;498466;1767724000
